Time (s),Race Time,Speed,Gs
19.53,0.0,80,1.72
19.57,0.0,80,1.76
19.6,0.0,80,1.89
19.63,0.0,79,1.64
19.67,0.0,76,0.97
19.7,0.0,75,1.11
19.73,0.0,74,1.55
19.77,0.0,71,1.75
19.8,0.0,69,1.93
19.83,0.0,67,1.83
19.87,0.0,64,1.88
19.9,0.0,61,1.89
19.93,0.0,60,1.74
19.97,0.0,58,1.64
20.0,0.0,58,1.53
20.03,0.0,56,1.52
20.07,0.0,55,1.38
20.1,0.0,54,1.37
20.13,0.0,53,1.24
20.17,0.0,52,1.03
20.2,0.0,51,1.08
20.23,0.0,50,1.04
20.27,0.0,49,0.98
20.3,0.0,48,0.84
20.33,0.0,47,0.85
20.37,0.0,47,0.68
20.4,0.0,47,0.93
20.43,0.0,47,1.02
20.47,0.0,46,1.49
20.5,0.0,44,1.45
20.53,0.0,43,1.41
20.57,0.0,43,1.65
20.6,0.0,42,1.33
20.63,0.0,40,1.83
20.67,0.0,40,1.74
20.7,0.0,39,2.13
20.73,0.0,40,1.36
20.77,0.0,41,0.91
20.8,0.0,41,1.25
20.83,0.0,42,1.41
20.87,0.0,43,1.61
20.9,0.0,42,1.67
20.93,0.0,41,1.71
20.97,0.0,39,2.09
21.0,0.0,39,1.7
21.03,0.0,39,1.88
21.07,0.0,38,1.85
21.1,0.0,37,1.32
21.13,0.0,37,1.72
21.17,0.0,37,2.53
21.2,0.0,36,2.25
21.23,0.0,36,1.54
21.27,0.0,36,1.08
21.3,0.0,36,0.9
21.33,0.0,36,1.42
21.37,0.0,37,1.81
21.4,0.0,38,1.92
21.43,0.0,39,1.57
21.47,0.0,41,1.05
21.5,0.0,43,1.56
21.53,0.0,44,1.47
21.57,0.0,42,1.25
21.6,0.0,42,1.46
21.63,0.0,44,1.47
21.67,0.0,44,1.55
21.7,0.0,46,1.54
21.73,0.0,47,1.84
21.77,0.0,47,1.61
21.8,0.0,48,1.43
21.83,0.0,50,1.25
21.87,0.0,50,1.18
21.9,0.0,51,1.32
21.93,0.0,52,1.51
21.97,0.0,52,1.53
22.0,0.0,53,1.54
22.03,0.0,54,1.36
22.07,0.0,56,1.4
22.1,0.0,57,1.34
22.13,0.0,59,1.35
22.17,0.0,60,1.31
22.2,0.0,62,1.27
22.23,0.0,63,1.3
22.27,0.0,65,1.27
22.3,0.0,65,1.31
22.33,0.0,64,0.62
22.37,0.0,63,0.38
22.4,0.0,60,0.81
22.43,0.0,59,0.92
22.47,0.0,58,1.21
22.5,0.0,55,1.53
22.53,0.0,54,1.48
22.57,0.0,52,1.47
22.6,0.0,51,1.68
22.63,0.0,52,1.45
22.67,0.0,50,1.45
22.7,0.0,50,1.6
22.73,0.0,47,1.68
22.77,0.0,44,1.8
22.8,0.0,43,1.91
22.83,0.0,44,1.32
22.87,0.0,45,1.59
22.9,0.0,46,1.57
22.93,0.0,46,1.59
22.97,0.0,46,1.32
23.0,0.0,46,1.38
23.03,0.0,46,1.35
23.07,0.0,45,1.43
23.1,0.0,44,1.93
23.13,0.0,44,1.96
23.17,0.0,44,1.57
23.2,0.0,44,1.82
23.23,0.0,45,1.5
23.27,0.0,46,1.21
23.3,0.0,47,1.61
23.33,0.0,50,
23.37,0.0,51,1.2
23.4,0.0,52,1.05
23.43,0.0,53,1.2
23.47,0.0,54,1.75
23.5,0.0,52,1.45
23.53,0.0,50,1.41
23.57,0.0,49,1.13
23.6,0.0,50,1.31
23.63,0.0,52,1.68
23.67,0.0,51,1.55
23.7,0.0,50,1.47
23.73,0.0,51,1.45
23.77,0.0,53,1.47
23.8,0.0,55,1.32
23.83,0.0,56,1.62
23.87,0.0,57,1.32
23.9,0.0,58,1.32
23.93,0.0,58,1.35
23.97,0.0,57,1.4
24.0,0.0,58,1.34
24.03,0.0,58,1.52
24.07,0.0,59,1.46
24.1,0.0,61,1.77
24.13,0.0,62,1.59
24.17,0.0,62,1.57
24.2,0.0,62,1.47
24.23,0.0,63,1.58
24.27,0.0,64,1.38
24.3,0.0,64,1.34
24.33,0.0,65,1.51
24.37,0.0,66,1.5
24.4,0.0,67,1.51
24.43,0.0,68,1.36
24.47,0.0,68,1.34
24.5,0.0,69,1.58
24.53,0.0,69,1.75
24.57,0.0,69,1.89
24.6,0.0,70,1.42
24.63,0.0,71,1.21
24.67,0.0,72,1.53
24.7,0.0,73,1.42
24.73,0.0,75,1.25
24.77,0.0,76,0.9
24.8,0.0,75,1.16
24.83,0.0,72,1.33
24.87,0.0,68,1.47
24.9,0.0,65,0.83
24.93,0.0,64,1.01
24.97,0.0,63,1.32
25.0,0.0,61,1.44
25.03,0.0,58,1.48
25.07,0.0,56,1.8
25.1,0.0,54,1.88
25.13,0.0,50,1.59
25.17,0.0,47,1.66
25.2,0.0,47,1.82
25.23,0.0,47,1.73
25.27,0.0,46,1.47
25.3,0.0,45,1.4
25.33,0.0,46,1.37
25.37,0.0,45,1.05
25.4,0.0,45,1.2
25.43,0.0,45,1.36
25.47,0.0,44,1.03
25.5,0.0,43,1.05
25.53,0.0,41,1.1
25.57,0.0,38,1.72
25.6,0.0,39,2.06
25.63,0.0,41,1.42
25.67,0.0,43,1.04
25.7,0.0,45,0.79
25.73,0.0,46,1.23
25.77,0.0,48,1.5
25.8,0.0,49,1.02
25.83,0.0,51,0.68
25.87,0.0,52,0.7
25.9,0.0,49,1.06
25.93,0.0,45,1.38
25.97,0.0,43,1.99
26.0,0.0,42,2.04
26.03,0.0,43,1.98
26.07,0.0,43,1.69
26.1,0.0,45,1.3
26.13,0.0,47,1.1
26.17,0.0,48,1.31
26.2,0.0,50,1.35
26.23,0.0,49,1.62
26.27,0.0,49,1.59
26.3,0.0,47,1.54
26.33,0.0,44,1.67
26.37,0.0,45,1.31
26.4,0.0,46,1.43
26.43,0.0,47,1.3
26.47,0.0,47,1.46
26.5,0.0,46,1.52
26.53,0.0,47,1.41
26.57,0.0,47,1.51
26.6,0.0,48,1.26
26.63,0.0,50,1.32
26.67,0.0,50,1.45
26.7,0.0,52,1.4
26.73,0.0,52,1.41
26.77,0.0,54,1.33
26.8,0.0,55,1.32
26.83,0.0,57,1.17
26.87,0.0,58,1.2
26.9,0.0,60,1.28
26.93,0.0,62,1.3
26.97,0.0,62,1.32
27.0,0.0,64,1.29
27.03,0.0,65,1.24
27.07,0.0,67,1.21
27.1,0.0,68,1.14
27.13,0.0,70,1.12
27.17,0.0,,1.13
27.2,0.0,72,1.24
27.23,0.0,72,1.06
27.27,0.0,73,0.82
27.3,0.0,73,1.03
27.33,0.0,74,0.99
27.37,0.0,75,0.97
27.4,0.0,76,1.09
27.43,0.0,76,1.01
27.47,0.0,76,1.27
27.5,0.0,77,1.23
27.53,0.0,77,0.99
27.57,0.0,77,0.93
27.6,0.0,78,0.99
27.63,0.0,78,0.92
27.67,0.0,78,0.92
27.7,0.0,79,1.2
27.73,0.0,79,1.27
27.77,0.0,79,1.34
27.8,0.0,79,1.29
27.83,0.0,79,1.57
27.87,0.0,79,1.68
27.9,0.0,79,1.82
27.93,0.0,79,1.88
27.97,0.0,79,2.01
28.0,0.0,80,2.02
28.03,0.0,80,2.11
28.07,0.0,80,2.16
28.1,0.0,81,1.81
28.13,0.0,81,1.77
28.17,0.0,82,2.18
28.2,0.0,82,2.12
28.23,0.0,82,2.05
28.27,0.0,82,2.06
28.3,0.0,81,2.01
28.33,0.0,81,1.96
28.37,0.0,81,2.32
28.4,0.0,82,2.28
28.43,0.0,82,2.04
28.47,0.0,82,1.84
28.5,0.0,82,1.9
28.53,0.0,83,1.74
28.57,0.0,83,1.65
28.6,0.0,83,1.08
28.63,0.0,83,1.15
28.67,0.0,83,1.16
28.7,0.0,83,1.45
28.73,0.0,83,1.68
28.77,0.0,83,1.79
28.8,0.0,82,1.61
28.83,0.0,83,1.07
28.87,0.0,83,1.02
28.9,0.0,82,1.48
28.93,0.0,82,1.72
28.97,0.0,81,1.82
29.0,0.0,81,1.71
29.03,0.0,80,1.85
29.07,0.0,78,1.84
29.1,0.0,76,2.0
29.13,0.0,73,1.9
29.17,0.0,74,2.22
29.2,0.0,73,
29.23,0.0,72,2.59
29.27,0.0,72,2.35
29.3,0.0,,1.93
29.33,0.0,69,1.41
29.37,0.0,69,1.48
29.4,0.0,69,1.58
29.43,0.0,69,1.5
29.47,0.0,68,1.6
29.5,0.0,68,1.71
29.53,0.0,67,1.72
29.57,0.0,67,1.55
29.6,0.0,66,1.57
29.63,0.0,66,1.59
29.67,0.0,65,1.59
29.7,0.0,64,1.43
29.73,0.0,64,1.39
29.77,0.0,64,1.59
